,gemini-2.5-flash,gpt-4o
kbaa-p114:__COL__:lastname,23,23
kbaa-p114:__COL__:firstname,23,23
kbaa-p114:__COL__:maidenname,23,23
kbaa-p114:__COL__:birthyear,23,23
kbaa-p114:__COL__:deathyear,23,23
kbaa-p114:__COL__:title,3,14
kbaa-p114:__COL__:city,23,22
kbaa-p114:__COL__:publisher,22,21
kbaa-p114:__COL__:publishyear,23,22
kbaa-p114:__COL__:pagecount,23,22
kbaa-p114:__COL__:library,23,22
kbaa-p114:__COL__:description,18,20
kbaa-p114:__COL__:index,23,23
kbaa-p114:matches,273,281
kbaa-p114:total,299,299
kbaa-p114:mismatch_bool,False,False
kbaa-p114:pred_nrows,23,22
kbaa-p114:pred_adj_nrows,23,23
kbaa-p114:gt_nrows,23,23
kbaa-p114:matches_pct,91.30434782608695,93.9799331103679
kbaa-p006:__COL__:lastname,24,
kbaa-p006:__COL__:firstname,24,
kbaa-p006:__COL__:maidenname,24,
kbaa-p006:__COL__:birthyear,24,
kbaa-p006:__COL__:deathyear,24,
kbaa-p006:__COL__:title,22,
kbaa-p006:__COL__:city,24,
kbaa-p006:__COL__:publisher,22,
kbaa-p006:__COL__:publishyear,24,
kbaa-p006:__COL__:pagecount,24,
kbaa-p006:__COL__:library,24,
kbaa-p006:__COL__:description,22,
kbaa-p006:__COL__:index,24,
kbaa-p006:matches,306,
kbaa-p006:total,312,
kbaa-p006:mismatch_bool,False,True
kbaa-p006:pred_nrows,24,22
kbaa-p006:pred_adj_nrows,24,22
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,98.07692307692307,
kbaa-p010:__COL__:lastname,22,
kbaa-p010:__COL__:firstname,22,
kbaa-p010:__COL__:maidenname,22,
kbaa-p010:__COL__:birthyear,22,
kbaa-p010:__COL__:deathyear,22,
kbaa-p010:__COL__:title,17,
kbaa-p010:__COL__:city,20,
kbaa-p010:__COL__:publisher,20,
kbaa-p010:__COL__:publishyear,22,
kbaa-p010:__COL__:pagecount,22,
kbaa-p010:__COL__:library,22,
kbaa-p010:__COL__:description,16,
kbaa-p010:__COL__:index,22,
kbaa-p010:matches,271,
kbaa-p010:total,286,
kbaa-p010:mismatch_bool,False,True
kbaa-p010:pred_nrows,21,19
kbaa-p010:pred_adj_nrows,22,19
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,94.75524475524476,
kbaa-p067:matches,,246
kbaa-p067:total,,260
kbaa-p067:mismatch_bool,True,False
kbaa-p067:pred_nrows,18,20
kbaa-p067:pred_adj_nrows,18,20
kbaa-p067:gt_nrows,20,20
kbaa-p067:matches_pct,,94.61538461538461
