,gemini-2.5-flash,gpt-4o
kbaa-p003:__COL__:lastname,18,18
kbaa-p003:__COL__:firstname,17,18
kbaa-p003:__COL__:maidenname,19,19
kbaa-p003:__COL__:birthyear,19,19
kbaa-p003:__COL__:deathyear,19,19
kbaa-p003:__COL__:title,15,3
kbaa-p003:__COL__:city,18,9
kbaa-p003:__COL__:publisher,18,17
kbaa-p003:__COL__:publishyear,18,19
kbaa-p003:__COL__:pagecount,18,19
kbaa-p003:__COL__:library,17,16
kbaa-p003:__COL__:description,16,17
kbaa-p003:__COL__:index,19,19
kbaa-p003:matches,231,212
kbaa-p003:total,247,247
kbaa-p003:mismatch_bool,False,False
kbaa-p003:pred_nrows,19,18
kbaa-p003:pred_adj_nrows,19,19
kbaa-p003:gt_nrows,19,19
kbaa-p003:matches_pct,93.52226720647774,85.82995951417004
kbaa-p004:__COL__:lastname,20,20
kbaa-p004:__COL__:firstname,19,19
kbaa-p004:__COL__:maidenname,20,20
kbaa-p004:__COL__:birthyear,20,18
kbaa-p004:__COL__:deathyear,20,18
kbaa-p004:__COL__:title,16,8
kbaa-p004:__COL__:city,20,18
kbaa-p004:__COL__:publisher,16,13
kbaa-p004:__COL__:publishyear,19,18
kbaa-p004:__COL__:pagecount,20,19
kbaa-p004:__COL__:library,20,13
kbaa-p004:__COL__:description,17,15
kbaa-p004:__COL__:index,20,20
kbaa-p004:matches,247,219
kbaa-p004:total,260,260
kbaa-p004:mismatch_bool,False,False
kbaa-p004:pred_nrows,20,19
kbaa-p004:pred_adj_nrows,20,20
kbaa-p004:gt_nrows,20,20
kbaa-p004:matches_pct,95.0,84.23076923076923
kbaa-p005:matches,,239
kbaa-p005:total,,273
kbaa-p005:mismatch_bool,True,False
kbaa-p005:pred_nrows,19,21
kbaa-p005:pred_adj_nrows,19,21
kbaa-p005:gt_nrows,21,21
kbaa-p005:matches_pct,,87.54578754578755
kbaa-p006:__COL__:lastname,24,23
kbaa-p006:__COL__:firstname,21,20
kbaa-p006:__COL__:maidenname,24,24
kbaa-p006:__COL__:birthyear,24,23
kbaa-p006:__COL__:deathyear,24,23
kbaa-p006:__COL__:title,22,18
kbaa-p006:__COL__:city,24,23
kbaa-p006:__COL__:publisher,23,18
kbaa-p006:__COL__:publishyear,24,23
kbaa-p006:__COL__:pagecount,24,24
kbaa-p006:__COL__:library,24,18
kbaa-p006:__COL__:description,21,22
kbaa-p006:__COL__:index,24,24
kbaa-p006:matches,303,283
kbaa-p006:total,312,312
kbaa-p006:mismatch_bool,False,False
kbaa-p006:pred_nrows,24,24
kbaa-p006:pred_adj_nrows,24,24
kbaa-p006:gt_nrows,24,24
kbaa-p006:matches_pct,97.11538461538461,90.7051282051282
kbaa-p007:__COL__:lastname,21,20
kbaa-p007:__COL__:firstname,21,21
kbaa-p007:__COL__:maidenname,21,21
kbaa-p007:__COL__:birthyear,21,21
kbaa-p007:__COL__:deathyear,21,21
kbaa-p007:__COL__:title,18,7
kbaa-p007:__COL__:city,20,20
kbaa-p007:__COL__:publisher,19,19
kbaa-p007:__COL__:publishyear,20,21
kbaa-p007:__COL__:pagecount,20,21
kbaa-p007:__COL__:library,20,0
kbaa-p007:__COL__:description,16,19
kbaa-p007:__COL__:index,21,21
kbaa-p007:matches,259,232
kbaa-p007:total,273,273
kbaa-p007:mismatch_bool,False,False
kbaa-p007:pred_nrows,21,21
kbaa-p007:pred_adj_nrows,21,21
kbaa-p007:gt_nrows,21,21
kbaa-p007:matches_pct,94.87179487179486,84.98168498168498
kbaa-p008:__COL__:lastname,22,17
kbaa-p008:__COL__:firstname,21,15
kbaa-p008:__COL__:maidenname,22,22
kbaa-p008:__COL__:birthyear,22,15
kbaa-p008:__COL__:deathyear,22,18
kbaa-p008:__COL__:title,18,0
kbaa-p008:__COL__:city,22,16
kbaa-p008:__COL__:publisher,21,13
kbaa-p008:__COL__:publishyear,22,15
kbaa-p008:__COL__:pagecount,22,16
kbaa-p008:__COL__:library,21,11
kbaa-p008:__COL__:description,18,15
kbaa-p008:__COL__:index,22,15
kbaa-p008:matches,275,188
kbaa-p008:total,286,286
kbaa-p008:mismatch_bool,False,False
kbaa-p008:pred_nrows,22,21
kbaa-p008:pred_adj_nrows,22,22
kbaa-p008:gt_nrows,22,22
kbaa-p008:matches_pct,96.15384615384616,65.73426573426573
kbaa-p009:__COL__:lastname,22,
kbaa-p009:__COL__:firstname,21,
kbaa-p009:__COL__:maidenname,22,
kbaa-p009:__COL__:birthyear,23,
kbaa-p009:__COL__:deathyear,23,
kbaa-p009:__COL__:title,6,
kbaa-p009:__COL__:city,23,
kbaa-p009:__COL__:publisher,23,
kbaa-p009:__COL__:publishyear,23,
kbaa-p009:__COL__:pagecount,23,
kbaa-p009:__COL__:library,23,
kbaa-p009:__COL__:description,23,
kbaa-p009:__COL__:index,23,
kbaa-p009:matches,278,
kbaa-p009:total,299,
kbaa-p009:mismatch_bool,False,True
kbaa-p009:pred_nrows,23,21
kbaa-p009:pred_adj_nrows,23,21
kbaa-p009:gt_nrows,23,23
kbaa-p009:matches_pct,92.97658862876254,
kbaa-p010:__COL__:lastname,21,
kbaa-p010:__COL__:firstname,21,
kbaa-p010:__COL__:maidenname,22,
kbaa-p010:__COL__:birthyear,21,
kbaa-p010:__COL__:deathyear,20,
kbaa-p010:__COL__:title,20,
kbaa-p010:__COL__:city,22,
kbaa-p010:__COL__:publisher,21,
kbaa-p010:__COL__:publishyear,22,
kbaa-p010:__COL__:pagecount,22,
kbaa-p010:__COL__:library,22,
kbaa-p010:__COL__:description,17,
kbaa-p010:__COL__:index,22,
kbaa-p010:matches,273,
kbaa-p010:total,286,
kbaa-p010:mismatch_bool,False,True
kbaa-p010:pred_nrows,21,20
kbaa-p010:pred_adj_nrows,22,20
kbaa-p010:gt_nrows,22,22
kbaa-p010:matches_pct,95.45454545454545,
kbaa-p011:__COL__:lastname,21,
kbaa-p011:__COL__:firstname,21,
kbaa-p011:__COL__:maidenname,22,
kbaa-p011:__COL__:birthyear,22,
kbaa-p011:__COL__:deathyear,22,
kbaa-p011:__COL__:title,18,
kbaa-p011:__COL__:city,20,
kbaa-p011:__COL__:publisher,21,
kbaa-p011:__COL__:publishyear,22,
kbaa-p011:__COL__:pagecount,22,
kbaa-p011:__COL__:library,22,
